dim1,dim2
292345,362468
292346,906591
292377,650705
292379,703375
292382,29429
292393,419365
292404,295416
292431,102292
292448,325744
292466,258005
292468,101173
292478,41473
292494,7055
292503,7214
292505,651015
292534,27053
292534,582153
292551,93751
292566,811931
292584,814241
292598,363762
292605,77364
292643,168444
292645,360039
292646,53367
292668,69503
292676,190169
292721,892787
292723,392795
292746,512966
292749,161723
292752,629615
292754,842629
292783,353744
292826,447588
292891,50929
292905,181388
292920,5454
292935,833437
292940,530197
292941,760222
292945,317321
292956,441771
292973,719958
292983,54496
292986,179839
292995,578173
293003,643981
293008,90138
293017,807444
293019,918532
293072,257192
293072,498214
293076,51895
293083,815686
293095,254422
293100,605062
293106,713379
293106,376553
293124,431313
293131,891165
293140,454902
293147,538308
293149,300203
293152,153792
293162,733851
293164,305198
293172,17691
293180,560698
293192,719714
293194,425266
293207,401285
293211,468369
293217,363208
293226,32812
293228,470079
293232,826648
293240,112745
293246,340873
293259,204534
293265,449923
293276,255203
293284,346662
293301,86766
293306,919966
293308,84132
293320,931272
293344,720921
293347,543509
293354,463801
293378,884283
293386,60036
293417,362863
293420,69549
293432,545007
293497,168537
293527,790407
293531,339474
293536,349803
293539,1064
293549,446962
293567,62566
293570,466964
293592,85758
293629,185137
293639,535475
293652,914192
293661,666037
293670,60584
293706,29245
293707,143648
293707,5766
293715,385647
293717,100786
293723,935176
293742,262537
293746,917672
293775,720544
293781,168523
293792,449393
293802,229039
293809,211113
293820,694155
293820,84707
293827,544234
293836,155937
293849,551581
293883,174924
293897,890999
293900,935526
293910,91839
293916,674056
293917,643124
293954,926648
293967,280825
293969,883748
293982,617669
293982,286224
293994,917074
294012,315269
294020,73442
294038,644257
294055,704004
294077,68199
294089,81059
294090,728796
294109,28202
294129,811002
294131,519425
294132,98211
294153,715974
294163,563151
294166,445238
294198,702494
294213,697603
294219,362221
294233,700163
294238,726819
294241,631055
294247,323854
294256,214513
294284,541519
294285,79104
294295,168111
294332,637418
294348,50253
294362,44061
294365,721496
294403,445079
294434,186553
294459,243228
294488,34203
294495,36524
294500,423874
294503,854497
294509,68603
294521,66287
294550,23509
294553,802468
294561,686871
294572,849433
294606,463672
294609,793558
294615,930086
294625,247589
294627,911347
294695,351574
294716,641096
294744,16773
294770,744401
294787,100944
294801,255432
294810,289944
294821,375344
294832,12241
294837,190123
294844,119495
294844,362999
294848,590984
294858,901399
294875,639833
294876,449055
294877,627802
294878,35433
294902,17363
294903,907217
294938,162412
294943,342126
294974,45407
294984,121517
294999,921126
295015,908784
295017,166271
295021,904801
295032,439171
295044,67255
295055,459942
295059,184072
295060,728862
295067,282721
295068,919639
295074,920444
295076,790378
295077,358071
295077,907453
295122,904361
295162,81507
295162,196872
295180,596443
295185,823382
295191,474464
295194,616679
295199,60144
295208,195557
295211,358511
295222,907169
295231,701705
295232,243801
295236,703885
295242,95868
295250,8049
295256,334263
295260,361531
295270,299425
295271,63364
295273,354869
295291,58783
295292,355804
295295,483721
295306,400054
295319,834832
295326,618468
295340,119419
295350,247401
295367,756535
295373,968813
295375,675334
295376,824717
295377,288886
295380,728612
295400,425731
295404,775253
295428,953585
295430,320129
295433,439713
295446,826039
295498,924795
295585,382864
295589,423079
295592,29676
295599,694191
295603,733222
295607,69403
295609,180143
295670,352185
295675,231963
295693,635002
295714,862912
295719,62415
295750,63479
295750,238051
295755,531913
295761,83628
295769,98993
295792,238794
295800,283451
295803,572535
295812,453098
295827,354384
295848,206361
295854,762213
295864,881836
295924,633179
295931,784878
295940,286448
295942,557775
295970,661336
295999,747847
296003,708703
296010,37717
296014,856688
296017,265654
296029,172547
296052,182221
296058,81499
296060,353973
296068,8985
296070,354615
296082,12612
296087,851735
296120,607952
296142,298852
296143,929356
296149,916112
296156,287822
296164,160601
296207,953692
296208,631544
296215,561274
296222,624998
296233,8956
296250,717755
296254,181652
296262,838826
296278,817076
296284,755738
296290,259463
296305,613694
296320,594424
296320,764807
296323,627611
296359,918234
296360,831458
296370,560876
296397,650291
296439,667806
296444,470013
296458,907494
296461,853663
296485,743977
296516,730144
296541,717731
296577,524574
296579,712637
296586,201877
296599,358257
296601,745449
296611,760029
296640,716167
296647,375585
296655,59437
296663,85059
296664,873334
296682,760327
296688,634759
296701,837423
296728,726767
296742,184994
296753,276693
296756,27923
296759,919914
296769,299049
296770,334837
296782,519651
296786,307495
296790,915427
296808,558218
296814,55927
296836,78249
296841,56633
296846,862383
296858,791372
296860,710724
296864,747778
296920,926212
296959,456511
296967,307869
296969,445615
296976,278196
296992,938525
296994,619492
297007,703442
297012,801268
297031,172941
297046,784183
297071,548712
297079,66581
297105,633557
297110,437175
297145,761124
297157,696119
297168,68696
297187,588371
297189,724977
297209,619256
297209,875668
297212,587432
297215,813099
297217,881325
297230,60523
297236,276094
297251,614448
297258,730947
297289,374927
297312,912928
297321,809902
297324,362329
297333,181152
297333,727582
297340,367381
297377,648076
297404,170243
297415,733816
297422,187147
297430,156332
297453,287102
297472,913054
297492,597916
297502,40093
297502,746251
297531,909275
297537,72574
297551,540614
297556,176087
297563,874286
297570,818041
297581,625062
297591,770481
297628,377772
297642,656038
297647,293076
297663,341149
297684,411592
297692,9013
297706,641514
297716,348258
297722,794914
297728,779789
297739,709467
297757,710346
297762,645203
297807,188006
297811,596439
297829,833488
297842,435618
297863,82128
297868,546773
297893,54951
297895,699771
297909,622083
297916,901664
297974,80642
297985,260854
297989,276481
298023,928607
298042,4725
298065,278076
298089,66934
298105,615058
298143,941885
298144,738032
298152,178208
298172,810792
298182,339094
298185,86664
298230,507883
298247,727577
298262,636451
298268,543257
298270,662271
298283,472743
298297,734703
298301,117178
298302,748292
298310,500334
298330,2809
298364,434999
298395,133575
298405,445351
298412,265342
298445,812545
298472,94734
298482,178504
298510,309087
298516,357825
298516,931735
298520,258475
298533,109783
298536,593665
298549,383453
298574,337185
298583,178576
298586,362712
298600,771736
298602,83462
298613,547699
298624,34931
298630,928485
298662,631796
298664,566036
298688,710039
298693,313467
298714,195719
298754,119574
298755,97961
298756,907951
298798,27973
298820,246007
298831,667887
298842,277324
298875,705291
298904,717394
298921,275346
298925,616227
298935,817737
298937,334986
298943,295376
298997,616662
299001,84501
299003,173689
299026,3586
299029,254598
299050,107575
299053,945383
299056,611004
299072,847916
299097,58522
299119,630981
299145,709713
299154,445184
299203,541548
299204,352793
299215,90289
299221,360259
299236,620056
299269,843373
299284,842826
299290,619644
299299,347217
299309,692349
299331,16066
299350,827425
299354,27177
299356,704148
299359,934176
299384,442647
299385,529909
299429,528718
299472,181927
299474,63833
299480,686631
299573,549641
299576,642289
299576,256625
299585,40036
299654,326766
299662,454329
299663,599927
299687,535344
299688,341446
299703,542307
299732,895316
299746,602572
299762,6104
299765,915213
299767,366773
299795,938682
299803,43274
299823,278074
299845,52275
299845,742366
299870,7451
299871,45962
299874,503468
299883,610741
299890,619164
299892,828816
299893,244619
299926,553495
299930,408872
299941,235138
299942,128726
299943,430409
299952,349462
299954,538257
299960,794767
299993,427309
299994,381614
299996,286171
299996,524698
300012,26048
300031,236774
300033,174069
300049,9284
300049,555407
300092,616637
300098,158021
300104,443426
300106,247643
300112,271796
300120,709402
300141,884697
300144,572964
300167,736992
300167,114406
300195,766828
300203,347985
300240,262467
300259,420525
300264,732111
300265,150263
300266,72496
300275,99557
300279,588592
300296,942444
300300,573774
300303,672924
300308,670693
300310,514772
300315,622442
300326,427885
300336,413779
300445,740961
300446,621157
300450,364365
300458,464191
300464,455573
300468,81144
300555,288454
300607,742282
300623,851631
300630,435072
300643,39669
300670,614247
300706,258217
300717,70931
300725,79793
300738,778327
300741,78074
300746,737968
300773,613033
300803,644361
300806,75752
300815,815659
300842,174931
300877,78866
300888,475557
300892,722111
300935,266387
300944,92411
300994,551526
301002,617412
301036,350059
301041,90613
301076,261501
301096,5495
301096,92605
301097,94526
301113,887194
301171,749395
301181,63762
301188,688517
301216,240869
301218,226777
301232,730082
301236,850679
301259,410124
301262,2702
301268,11975
301277,252662
301289,877524
301293,632463
301303,358658
301307,711643
301339,65168
301390,720093
301419,486236
301433,828608
301442,834747
301452,664542
301457,49148
301511,794841
301541,945265
301550,940956
301584,546085
301588,635725
301619,213649
301643,1646
301664,452378
301673,785552
301714,611467
301715,7202
301734,381818
301742,456699
301748,366033
301749,405243
301764,545543
301772,252363
301778,351878
301783,946295
301786,551527
301790,548752
301830,63297
301835,832141
301869,617793
301883,21945
301891,729434
301918,891299
301933,165837
301942,59162
301971,49298
301994,901419
302006,51817
302043,423495
302056,191149
302068,380769
302087,633209
302144,58993
302162,830184
302165,80833
302183,263
302192,543051
302197,548469
302208,342518
302209,658197
302211,140927
302222,343344
302228,776006
302265,88045
302306,118035
302322,525622
302336,598557
302356,123062
302365,192385
302366,578148
302418,643576
302445,807488
302498,88647
302515,167631
302533,673635
302566,611716
302585,570142
302588,914183
302611,73965
302625,176702
302644,577122
302647,532432
302651,666006
302710,454445
302710,366033
302733,501441
302735,381123
302764,739147
302773,823171
302780,707253
302795,65837
302805,206396
302829,76347
302834,800773
302842,377928
302856,221946
302893,734118
302922,346099
302922,343092
302924,96162
302938,68932
302971,393462
302972,331337
302992,441483
303005,193552
303005,892226
303057,743579
303086,265934
303089,927387
303094,935585
303117,296367
303120,490707
303129,730653
303139,710277
303141,902955
303169,202952
303218,152683
303220,740235
303221,26057
303231,788314
303243,863738
303244,556728
303264,761953
303267,261595
303283,548288
303308,271765
303326,63281
303344,324598
303348,17358
303352,399276
303377,457453
303391,923658
303426,529618
303430,728789
303463,907828
303492,612331
303496,453916
303508,857037
303546,803297
303553,634013
303556,37974
303583,424917
303586,939724
303589,592459
303620,458257
303625,205917
303626,74721
303629,620076
303629,311841
303645,176286
303657,299547
303657,820196
303674,253594
303693,226607
303765,237534
303765,7229
303784,885756
303835,586521
303862,132904
303887,731967
303929,156016
303965,11488
303970,828959
303973,824302
303974,810726
303988,177843
303991,89155
304000,81279
304005,60359
304048,444339
304138,270011
304206,339251
304243,727494
304270,375735
304272,24367
304274,544742
304316,54355
304324,936233
304353,173128
304364,915633
304417,837504
304439,270676
304469,390418
304478,94585
304482,111674
304498,69098
304520,346415
304530,567619
304530,171177
304532,60991
304535,424566
304543,827421
304575,53242
304581,690972
304655,492315
304672,27683
304678,632105
304683,780717
304731,865206
304739,526685
304739,535932
304766,327121
304789,442615
304795,484225
304799,291931
304819,492
304825,145367
304846,952033
304854,778862
304863,89503
304865,41016
304879,783021
304892,459049
304921,272248
304926,446125
304942,738866
304962,727177
304969,266064
304974,270453
304978,72122
305017,348947
305027,910605
305030,674736
305080,59578
305144,173195
305164,438685
305172,49454
305176,258472
305183,26729
305195,369257
305210,325774
305221,6158
305246,79925
305308,811009
305315,830684
305319,328354
305328,64375
305339,306867
305340,502199
305400,449844
305402,773129
305403,628583
305406,553772
305407,436669
305408,88467
305427,333709
305476,829508
305480,380445
305496,195409
305498,717639
305517,217006
305521,857456
305527,7476
305534,139646
305568,610541
305581,901506
305584,640794
305608,448206
305672,31374
305672,848135
305675,934166
305676,723459
305730,899866
305745,656053
305746,505454
305765,358754
305765,851468
305790,257206
305797,87311
305820,802482
305822,268886
305824,272153
305843,283416
305863,146164
305864,418874
305871,448852
305877,908377
305878,244435
305966,49965
305969,453851
305970,16582
305975,372946
305980,195687
305999,760296
306008,214651
306024,144309
306071,653637
306072,708602
306086,24146
306110,262478
306112,910823
306141,734001
306143,704192
306144,728125
306176,9649
306198,626384
306212,901276
306280,84186
306301,374889
306357,359586
306380,469734
306391,514039
306414,27411
306425,686293
306442,848706
306465,503129
306472,639401
306505,255993
306506,921757
306513,53084
306518,453255
306532,42827
306533,79175
306535,91142
306633,207193
306638,290991
306668,25697
306680,711263
306701,627602
306723,181002
306772,58205
306775,287594
306784,522254
306812,387177
306814,120975
306837,118423
306881,694543
306926,20138
306928,255602
306955,46048
306962,770865
306974,27498
307004,333149
307008,230271
307014,74838
307017,337403
307026,335348
307044,385624
307075,726594
307089,261096
307095,630016
307110,55264
307119,273601
307133,116717
307136,499875
307145,453345
307153,43886
307216,706252
307235,288942
307239,945817
307281,638766
307315,905226
307331,252168
307357,379599
307386,262279
307398,336603
307408,656694
307426,546786
307464,144021
307500,466627
307503,603129
307515,463655
307527,785439
307529,620181
307531,913892
307569,898376
307577,539548
307617,539351
307655,935367
307689,796226
307699,329035
307706,90349
307740,488327
307769,626289
307775,78751
307800,8921
307810,244415
307828,780602
307875,50712
307906,165856
307944,722234
307994,247557
307996,341819
308051,538272
308062,37612
308130,710016
308139,330226
308148,736952
308186,325876
308247,82515
308269,10927
308271,86361
308278,1654
308280,475757
308299,92717
308306,639926
308317,44656
308374,935848
308378,63292
308385,90671
308391,541666
308396,445702
308410,90386
308464,629717
308467,471298
308468,269087
308475,805895
308481,225594
308497,73858
308499,209731
308523,60775
308546,230716
308570,33417
308588,393523
308591,166136
308610,555525
308613,101104
308623,714952
308627,261577
308642,542982
308644,394051
308691,62664
308701,847749
308719,353733
308729,223704
308766,909004
308806,664554
308870,173719
308903,525278
308924,733394
308930,240939
308945,892534
308952,623368
308976,833243
308980,47413
308987,498333
308995,378239
309005,626842
309055,392376
309079,881703
309105,453541
309125,53465
309146,765632
309152,243444
309157,39957
309166,35218
309168,361284
309201,358793
309208,42659
309212,5933
309300,160423
309306,424435
309331,895829
309400,260651
309433,730281
309465,459132
309466,898039
309472,734188
309472,480525
309517,892292
309528,541762
309531,854458
309548,425344
309551,902095
309556,453135
309578,719298
309588,283154
309590,281539
309648,325198
309654,935414
309694,638895
309732,897465
309733,372028
309743,242593
309744,835015
309773,930501
309775,638513
309775,1751
309779,120293
309786,482565
309793,366928
309804,630671
309811,798808
309840,817904
309851,141732
309857,710774
309960,293164
309997,76631
310041,468852
310099,944486
310104,349133
310110,576448
310112,384415
310166,852645
310182,240796
310184,53134
310186,211781
310204,601585
310214,94787
310256,552582
310271,88566
310346,625018
310361,68298
310391,286537
310421,380227
310422,753493
310466,707421
310466,266129
310482,572217
310518,930344
310538,409978
310550,5564
310555,802738
310555,361229
310562,67329
310569,176669
310623,453629
310624,551306
310624,25536
310626,841784
310642,416824
310648,618311
310655,27703
310667,124114
310672,85114
310697,451034
310717,537389
310745,628975
310747,73682
310773,931539
310801,343268
310837,764941
310899,190656
310901,94739
310953,368264
310966,261459
310993,84229
311001,363899
311068,45416
311079,56073
311091,891405
311129,332929
311133,8449
311142,64995
311170,710647
311219,3712
311258,713955
311262,88856
311292,724062
311374,284821
311422,41402
311440,212766
311448,542538
311458,549735
311469,155782
311520,36773
311544,445487
311579,200631
311588,5464
311601,619987
311608,626515
311630,268215
311659,134216
311728,92488
311753,265076
311788,161844
311794,818393
311829,263545
311838,546081
311880,248835
311884,157312
311922,39243
311942,353747
311953,881103
311954,272812
312018,802751
312033,88443
312056,281607
312114,760071
312138,796525
312142,365684
312165,351505
312171,65049
312198,244185
312211,898941
312233,58839
312236,547976
312250,193572
312271,335263
312305,71788
312349,663646
312402,35058
312406,193529
312420,354525
312456,810187
312476,101028
312508,252298
312537,734594
312550,251727
312566,469633
312584,58218
312595,274978
312615,214741
312623,523502
312637,218875
312645,794711
312659,316383
312704,454644
312722,242985
312770,788503
312786,826203
312858,734397
312868,11222
312872,746734
312881,928953
312936,289054
312946,937678
312961,70943
312983,635968
313047,654915
313059,50723
313077,915888
313100,825417
313111,679089
313112,70169
313153,634417
313158,297991
313175,52891
313217,640078
313219,739515
313242,46008
313282,714143
313293,826338
313303,871822
313315,655485
313346,630646
313347,61179
313369,504641
313383,160922
313399,91521
313463,896017
313495,819637
313499,451327
313523,294148
313532,328258
313556,503566
313597,27056
313613,783492
313618,373998
313618,710828
313628,602475
313639,677735
313734,525254
313762,750011
313774,236341
313776,921468
313806,723996
313813,80288
313813,721284
313838,733115
313856,176745
313896,689629
313903,236939
313921,892623
313931,7969
313932,744598
313932,322035
313987,565695
314014,540192
314031,74167
314091,897218
314125,470499
314129,609504
314140,49684
314143,548
314146,428274
314169,687577
314186,8654
314196,887886
314268,557938
314295,550556
314359,258005
314364,904817
314371,531761
314417,80985
314445,202858
314456,444808
314535,551041
314539,848821
314612,601543
314614,919571
314669,938406
314693,411042
314727,731861
314760,927274
314769,735613
314772,905361
314809,725721
314833,130591
314872,26363
314883,328209
314928,67377
314930,458371
314937,476059
314942,414177
314985,61814
315047,390903
315058,640969
315097,720742
315106,411538
315114,574612
315114,263992
315162,445693
315173,304086
315180,97901
315250,245832
315258,636467
315259,933713
315274,611989
315288,417352
315310,285973
315317,379536
315361,169987
315404,103254
315424,820481
315424,512824
315435,147823
315437,374744
315469,842686
315516,714395
315559,79665
315575,491845
315599,368996
315611,454191
315627,353145
315660,821341
315710,44835
315755,687642
315770,66629
315774,886163
315796,197636
315836,768256
315837,187424
315840,669912
315865,48862
315901,930556
315942,87862
315960,700113
315964,199821
315964,551489
315980,681112
315986,209833
316083,72213
316129,211344
316133,945745
316146,77154
316183,144455
316188,752604
316192,173636
316225,804425
316307,612803
316330,703943
316339,900006
316342,393512
316344,74234
316396,437025
316418,170174
316460,6496
316533,615736
316559,884911
316584,928795
316632,256505
316640,801766
316659,61022
316676,549132
316681,162365
316690,242297
316691,35411
316710,44866
316727,527444
316744,652051
316782,698689
316790,290194
316851,938897
316855,888686
316876,267947
316917,254908
316951,7723
316983,908274
316989,289931
317015,522332
317023,667505
317044,80675
317064,718735
317085,755437
317106,64695
317130,943814
317140,81698
317151,444518
317154,345252
317273,901895
317275,173057
317298,412016
317298,365297
317304,158136
317307,271682
317313,875614
317314,730188
317347,246901
317423,554356
317426,69891
317439,465395
317461,455014
317464,242401
317515,626587
317541,746612
317569,1026
317580,544591
317594,292509
317624,791073
317630,941668
317680,626481
317684,619214
317723,100458
317790,236481
317864,115502
317867,188849
317879,441952
317888,104202
317895,639201
317895,162637
317993,49593
318009,118381
318058,926168
318060,643217
318088,841341
318096,90981
318197,231083
318252,636918
318275,821251
318288,326598
318289,153093
318299,335907
318309,8323
318355,89219
318374,705569
318378,353758
318391,634033
318432,641245
318446,106332
318455,448515
318528,814196
318588,543779
318682,742509
318786,724589
318808,25962
318815,268137
318837,26361
318843,650758
318847,569754
318868,402703
318924,612538
318934,437057
318952,415217
318972,724459
318981,829099
319073,721463
319108,79076
319109,332405
319122,23198
319147,806638
319153,741884
319270,451048
319299,811985
319301,429446
319349,293002
319376,6514
319390,456223
319437,533019
319465,633436
319518,368872
319536,447045
319552,610235
319587,18008
319588,803795
319591,376818
319614,267494
319618,9121
319651,384957
319655,80096
319679,466882
319720,132559
319723,393608
319776,39951
319789,440242
319791,475074
319806,31522
319819,18289
319820,100239
319844,695677
319905,935301
319916,587497
319946,405846
319978,528709
319979,144215
319989,166995
320107,135173
320107,488733
320126,706812
320130,196497
320168,838001
320180,153856
320186,544271
320275,4723
320287,571021
320332,707063
320347,87452
320377,77337
320378,145076
320430,821617
320439,457089
320439,518614
320478,362016
320479,337609
320490,613425
320506,879219
320510,669868
320588,532473
320594,100757
320598,530214
320603,103884
320717,849092
320728,160388
320730,292745
320752,195205
320774,163258
320784,815596
320803,185692
320804,254677
320825,704458
320843,651359
320844,483882
320845,26961
320848,811538
320898,318912
320907,650618
320917,481095
320921,705312
320922,269647
320928,355288
320933,165038
320938,852222
320956,927804
320979,761212
320994,181339
321002,901624
321011,938065
321016,281974
321021,77782
321045,182887
321053,166421
321078,174979
321085,754849
321085,843472
321095,109524
321102,552938
321109,529683
321126,598122
321142,165629
321162,4063
321166,52446
321191,773952
321202,862097
321217,93133
321226,340987
321245,102732
321266,306358
321270,440604
321278,475817
321290,848193
321313,269214
321329,802756
321343,693164
321369,829215
321374,725409
321395,32401
321405,912305
321417,596985
321423,161021
321453,91751
321471,75649
321483,189386
321488,718999
321521,485094
321527,528983
321534,71459
321551,470061
321558,467231
321567,475902
321570,608316
321576,440398
321583,341862
321583,266688
321597,828689
321618,878949
321622,463369
321644,381238
321655,231194
321700,667055
321707,813265
321708,911516
321734,695608
321795,200963
321805,7594
321833,817136
321844,883966
321886,96752
321910,809888
321922,473234
321941,805187
321946,889619
321982,145129
322013,629773
322017,675404
322036,745743
322041,651954
322085,806607
322116,557714
322117,636175
322133,53766
322134,582328
322160,334282
322176,362287
322180,208952
322206,367859
322227,701569
322248,644153
322252,914816
322253,268908
322284,196983
322290,4512
322298,928741
322328,91522
322343,935271
322366,112712
322377,637661
322391,911396
322424,367971
322432,72204
322442,209212
322446,934014
322463,407628
322481,192516
322486,561247
322490,638093
322491,779567
322524,639344
322534,74685
322536,656926
322544,489173
322554,283238
322575,674345
322586,405698
322591,741072
322621,48725
322660,178299
322660,118945
322688,548806
322689,38823
322697,256684
322699,506867
322700,626474
322701,350704
322704,748494
322731,83689
322737,758213
322752,888695
322759,64321
322761,936903
322769,471756
322806,83907
322812,49631
322840,270379
322845,53128
322851,448893
322856,353726
322860,7128
322884,453859
322889,55972
322915,880023
322933,667208
322960,374791
323019,547628
323041,656078
323047,766487
323055,260955
323084,448649
323097,658644
323100,74166
323120,28904
323141,721085
323150,731186
323190,261863
323190,726917
323238,4578
323257,542052
323273,162926
323274,160762
323274,254825
323281,522757
323286,759738
323307,834553
323320,557834
323324,489362
323336,110072
323348,76535
323365,721629
323382,614515
323401,926616
323427,180059
323445,379662
323460,455877
323493,86477
323506,253889
323528,633326
323552,707733
323564,27054
323578,150999
323579,273064
323585,263428
323606,40699
323615,693135
323618,159923
323639,703618
323658,88732
323669,910541
323671,348093
323673,27113
323734,904562
323751,70659
323755,833491
323767,913821
323769,644133
323770,326656
323776,73651
323782,789925
323782,636631
323784,471393
323787,288295
323813,351073
323894,827339
323913,362024
323916,451383
323965,241285
323965,60226
323971,195241
323972,522646
323986,637914
324013,378133
324014,799215
324037,669202
324084,82814
324090,894662
324100,610084
324109,37387
324124,353068
324127,916725
324150,258315
324168,146142
324168,714117
324188,836208
324197,163753
324207,825616
324213,259967
324223,327348
324238,168133
324239,41466
324261,801657
324270,6978
324287,474345
324292,102267
324294,458059
324299,887599
324306,273902
324324,354814
324335,130296
324341,891571
324346,265742
324350,251828
324365,101731
324379,425337
324413,447162
324471,546471
324478,9626
324487,459107
324511,728559
324528,619958
324538,897221
324559,36447
324560,260755
324561,829818
324562,174509
324578,745161
324595,807951
324613,884077
324680,47579
324699,543381
324713,627989
324743,745685
324749,522736
324761,448281
324762,91448
324764,439383
324786,19256
324803,456198
324808,332148
324813,724656
324822,282531
324824,857126
324831,694345
324842,6241
324848,107799
324887,816535
324890,436098
324897,453358
324901,734136
324915,451034
324929,245746
324933,631769
324941,369465
324944,679325
324964,281962
324965,760869
324972,260203
324983,646187
324991,807618
325000,425037
325005,89922
325006,95333
325058,823415
325060,248534
325063,825529
325071,165612
325084,338007
325086,920546
325091,650007
325095,730129
325113,514731
325120,382194
325126,261382
325147,738001
325155,960575
325193,815525
325226,610862
325226,231703
325232,63119
325256,90206
325260,928162
325266,502757
325271,796147
325296,155417
325299,771963
325313,724494
325354,238072
325357,435149
325360,709843
325361,86903
325362,828125
325409,384808
325437,375835
325439,741072
325473,66133
325502,777408
325539,36531
